subgroup,n,mean_wait,median_wait,P90,P95,urgent_breach_rate,same_day_rate,within_3d_rate,within_14d_rate,high_risk_same_day_share,run,seed,scenario,utilization
A,2586,0.0931941221964423,0.0,0.0,0.0,0.0003866976024748,0.9563031709203405,0.9926527455529776,1.0,1.0,run_seed_304_hash_7ac9b09e,304,hybrid,1.0
B,2093,0.031055900621118,0.0,0.0,0.0,0.0009555661729574,0.9842331581462016,0.9976110845676064,1.0,1.0,run_seed_304_hash_7ac9b09e,304,hybrid,1.0
A,2276,0.1107205623901581,0.0,0.0,0.0,0.0017574692442882,0.9512302284710018,0.992091388400703,0.999560632688928,1.0,run_seed_315_hash_e4b578ce,315,hybrid,1.1
B,1959,0.0709545686574783,0.0,0.0,0.0,0.001531393568147,0.9693721286370596,0.993874425727412,1.0,1.0,run_seed_315_hash_e4b578ce,315,hybrid,1.1
A,2069,0.0942484291928467,0.0,0.0,0.0,0.000966650555824,0.9565007249879168,0.9927501208313196,1.0,1.0,run_seed_311_hash_6135dc5a,311,hybrid,1.2
B,1813,0.0667402095973524,0.0,0.0,0.0,0.0005515719801434,0.9680088251516824,0.996138996138996,1.0,1.0,run_seed_311_hash_6135dc5a,311,hybrid,1.2
A,2336,0.1181506849315068,0.0,0.0,0.0,0.0012842465753424,0.9503424657534246,0.9910102739726028,0.9991438356164384,1.0,run_seed_302_hash_e4b578ce,302,hybrid,1.1
B,1881,0.0473152578415736,0.0,0.0,0.0,0.0,0.9702286018075492,0.9973418394471026,1.0,1.0,run_seed_302_hash_e4b578ce,302,hybrid,1.1
A,2079,0.1192881192881192,0.0,0.0,1.0,0.0019240019240019,0.9456469456469456,0.9903799903799904,1.0,1.0,run_seed_324_hash_6135dc5a,324,hybrid,1.2
B,1754,0.0895096921322691,0.0,0.0,0.0,0.0011402508551881,0.9566704675028508,0.9942987457240592,1.0,1.0,run_seed_324_hash_6135dc5a,324,hybrid,1.2
A,2282,0.1371603856266433,0.0,0.0,1.0,0.0008764241893076,0.9312007011393516,0.9943032427695004,1.0,1.0,run_seed_308_hash_e4b578ce,308,hybrid,1.1
B,1938,0.0908152734778121,0.0,0.0,0.0,0.000515995872033,0.953560371517028,0.9948400412796696,1.0,1.0,run_seed_308_hash_e4b578ce,308,hybrid,1.1
A,2332,0.1149228130360205,0.0,0.0,1.0,0.0021440823327615,0.9463979416809606,0.9914236706689536,1.0,1.0,run_seed_304_hash_e4b578ce,304,hybrid,1.1
B,1905,0.0514435695538057,0.0,0.0,0.0,0.0010498687664041,0.9742782152230972,0.9973753280839897,1.0,1.0,run_seed_304_hash_e4b578ce,304,hybrid,1.1
A,2595,0.1078998073217726,0.0,0.0,1.0,0.001926782273603,0.9460500963391136,0.9934489402697496,1.0,1.0,run_seed_315_hash_7ac9b09e,315,hybrid,1.0
B,2100,0.0438095238095238,0.0,0.0,0.0,0.0004761904761904,0.9685714285714284,0.9985714285714286,1.0,1.0,run_seed_315_hash_7ac9b09e,315,hybrid,1.0
A,2271,0.1105239982386613,0.0,0.0,1.0,0.0017613386173491,0.9480405107881992,0.9898723029502422,1.0,1.0,run_seed_303_hash_e4b578ce,303,hybrid,1.1
