subgroup,n,mean_wait,median_wait,P90,P95,urgent_breach_rate,same_day_rate,within_3d_rate,within_14d_rate,high_risk_same_day_share,run,seed,scenario,utilization
B,1780,0.0910112359550561,0.0,0.0,0.0,0.0022471910112359,0.956741573033708,0.9926966292134832,0.999438202247191,1.0,run_seed_330_hash_e481da2f,330,baseline,1.2
A,2650,0.0660377358490566,0.0,0.0,0.0,0.000754716981132,0.9686792452830189,0.9943396226415094,1.0,1.0,run_seed_325_hash_64beb8db,325,baseline,1.0
B,2044,0.0401174168297455,0.0,0.0,0.0,0.0004892367906066,0.978962818003914,0.9975538160469668,1.0,1.0,run_seed_325_hash_64beb8db,325,baseline,1.0
A,2656,0.09375,0.0,0.0,0.0,0.0011295180722891,0.954066265060241,0.9935993975903614,1.0,1.0,run_seed_315_hash_64beb8db,315,baseline,1.0
B,2021,0.0380999505195447,0.0,0.0,0.0,0.0004948045522018,0.98416625432954,0.9965363681345868,1.0,1.0,run_seed_315_hash_64beb8db,315,baseline,1.0
A,2585,0.1156673114119922,0.0,0.0,1.0,0.0027079303675048,0.9454545454545454,0.9914893617021276,0.999613152804642,1.0,run_seed_330_hash_64beb8db,330,baseline,1.0
B,2058,0.0471331389698736,0.0,0.0,0.0,0.0004859086491739,0.9732750242954324,0.9965986394557824,1.0,1.0,run_seed_330_hash_64beb8db,330,baseline,1.0
A,2276,0.117311072056239,0.0,0.0,1.0,0.0021968365553602,0.9490333919156416,0.9907732864674867,1.0,1.0,run_seed_307_hash_e0cd5d01,307,baseline,1.1
B,1941,0.0597630087583719,0.0,0.0,0.0,0.0025759917568263,0.9685729005667182,0.9953632148377124,1.0,1.0,run_seed_307_hash_e0cd5d01,307,baseline,1.1
A,2645,0.107750472589792,0.0,0.0,1.0,0.0022684310018903,0.9485822306238184,0.9928166351606804,1.0,1.0,run_seed_304_hash_64beb8db,304,baseline,1.0
B,2048,0.046875,0.0,0.0,0.0,0.0,0.97216796875,0.99755859375,1.0,1.0,run_seed_304_hash_64beb8db,304,baseline,1.0
A,2308,0.134315424610052,0.0,0.0,1.0,0.0012998266897746,0.9493067590987868,0.9900346620450606,0.9991334488734837,1.0,run_seed_313_hash_e0cd5d01,313,baseline,1.1
B,1939,0.1206807632800412,0.0,0.0,0.0,0.002578648788035,0.9556472408457968,0.9886539453326456,0.999484270242393,1.0,run_seed_313_hash_e0cd5d01,313,baseline,1.1
A,2669,0.1330086174597227,0.0,0.0,1.0,0.0033720494567253,0.941925814911952,0.9891345073061072,1.0,1.0,run_seed_306_hash_64beb8db,306,baseline,1.0
B,1987,0.0890790135883241,0.0,0.0,0.0,0.0,0.9597382989431305,0.995470558631102,0.9994967287367892,1.0,run_seed_306_hash_64beb8db,306,baseline,1.0
A,2053,0.1095957135898684,0.0,0.0,1.0,0.0014612761811982,0.9493424257184608,0.990745250852411,1.0,1.0,run_seed_313_hash_e481da2f,313,baseline,1.2
B,1791,0.096035734226689,0.0,0.0,0.0,0.0011166945840312,0.96035734226689,0.993858179787828,1.0,1.0,run_seed_313_hash_e481da2f,313,baseline,1.2
A,2648,0.084214501510574,0.0,0.0,0.0,0.0015105740181268,0.9652567975830816,0.994335347432024,0.9996223564954684,1.0,run_seed_317_hash_64beb8db,317,baseline,1.0
B,2028,0.0562130177514792,0.0,0.0,0.0,0.0004930966469428,0.9733727810650888,0.9965483234714004,1.0,1.0,run_seed_317_hash_64beb8db,317,baseline,1.0
A,2603,0.1421436803688052,0.0,0.0,1.0,0.0026892047637341,0.9446792162888974,0.9880906646177487,0.9992316557817904,1.0,run_seed_314_hash_64beb8db,314,baseline,1.0
B,2073,0.0607814761215629,0.0,0.0,0.0,0.0014471780028943,0.9715388326097444,0.9961408586589484,1.0,1.0,run_seed_314_hash_64beb8db,314,baseline,1.0
A,2639,0.0894278135657446,0.0,0.0,0.0,0.0015157256536566,0.9590754073512694,0.9928003031451308,1.0,1.0,run_seed_307_hash_64beb8db,307,baseline,1.0
B,2063,0.0460494425593795,0.0,0.0,0.0,0.0,0.9747939893359184,0.9975763451284536,1.0,1.0,run_seed_307_hash_64beb8db,307,baseline,1.0
A,2336,0.1125856164383561,0.0,0.0,1.0,0.0025684931506849,0.9426369863013698,0.9931506849315068,1.0,1.0,run_seed_309_hash_e0cd5d01,309,baseline,1.1
B,1856,0.0792025862068965,0.0,0.0,0.0,0.0,0.9595905172413792,0.9951508620689656,1.0,1.0,run_seed_309_hash_e0cd5d01,309,baseline,1.1
A,2037,0.1516936671575846,0.0,0.0,1.0,0.0029455081001472,0.9455081001472754,0.9882179675994108,0.9985272459499264,1.0,run_seed_327_hash_e481da2f,327,baseline,1.2
B,1808,0.1045353982300884,0.0,0.0,0.0,0.0005530973451327,0.9651548672566372,0.9933628318584072,0.9988938053097344,1.0,run_seed_327_hash_e481da2f,327,baseline,1.2
A,2286,0.1307961504811898,0.0,0.0,1.0,0.0021872265966754,0.9479440069991252,0.989063867016623,0.9995625546806648,1.0,run_seed_324_hash_e0cd5d01,324,baseline,1.1
B,1926,0.0841121495327102,0.0,0.0,0.0,0.0010384215991692,0.962097611630322,0.9932502596053998,1.0,1.0,run_seed_324_hash_e0cd5d01,324,baseline,1.1
A,2070,0.1463768115942029,0.0,0.0,1.0,0.002415458937198,0.9415458937198068,0.9879227053140096,0.9990338164251208,1.0,run_seed_328_hash_e481da2f,328,baseline,1.2
B,1761,0.1061896649630891,0.0,0.0,0.0,0.0017035775127768,0.9568427030096536,0.9931856899488928,0.9994321408290744,1.0,run_seed_328_hash_e481da2f,328,baseline,1.2
A,2570,0.1268482490272373,0.0,0.0,1.0,0.0011673151750972,0.9443579766536964,0.9914396887159532,1.0,1.0,run_seed_310_hash_64beb8db,310,baseline,1.0
B,2122,0.0513666352497643,0.0,0.0,0.0,0.0,0.9679547596606974,0.998114985862394,1.0,1.0,run_seed_310_hash_64beb8db,310,baseline,1.0
A,2314,0.1348314606741573,0.0,0.0,1.0,0.0012964563526361,0.9403630077787382,0.989628349178911,1.0,1.0,run_seed_328_hash_e0cd5d01,328,baseline,1.1
B,1927,0.0923715620134924,0.0,0.0,1.0,0.0005189413596263,0.9491437467566164,0.9958484691229892,0.9994810586403736,1.0,run_seed_328_hash_e0cd5d01,328,baseline,1.1
A,2334,0.1469580119965724,0.0,0.0,1.0,0.0042844901456726,0.9361610968294772,0.9867180805484148,1.0,1.0,run_seed_303_hash_e0cd5d01,303,baseline,1.1
B,1900,0.0747368421052631,0.0,0.0,0.0,0.0,0.9594736842105264,0.9942105263157894,1.0,1.0,run_seed_303_hash_e0cd5d01,303,baseline,1.1
A,2041,0.0984811366976972,0.0,0.0,1.0,0.0014698677119059,0.9495345418912298,0.9936305732484076,1.0,1.0,run_seed_326_hash_e481da2f,326,baseline,1.2
B,1794,0.0719063545150501,0.0,0.0,0.0,0.0011148272017837,0.9654403567447044,0.9955406911928651,1.0,1.0,run_seed_326_hash_e481da2f,326,baseline,1.2
A,2224,0.1254496402877697,0.0,0.0,1.0,0.0022482014388489,0.9406474820143884,0.9910071942446044,1.0,1.0,run_seed_326_hash_e0cd5d01,326,baseline,1.1
B,1969,0.0914169629253428,0.0,0.0,0.0,0.0010157440325038,0.9614017267648552,0.9923819197562216,0.999492127983748,1.0,run_seed_326_hash_e0cd5d01,326,baseline,1.1
A,2078,0.1347449470644851,0.0,0.0,1.0,0.0019249278152069,0.942733397497594,0.9918190567853704,0.9995187680461982,1.0,run_seed_329_hash_e481da2f,329,baseline,1.2
B,1747,0.0789925586720091,0.0,0.0,0.0,0.0005724098454493,0.9627933600457927,0.9937034917000572,1.0,1.0,run_seed_329_hash_e481da2f,329,baseline,1.2
A,2286,0.1465441819772528,0.0,0.0,1.0,0.0008748906386701,0.9444444444444444,0.989063867016623,0.9991251093613298,1.0,run_seed_327_hash_e0cd5d01,327,baseline,1.1
B,1914,0.0804597701149425,0.0,0.0,0.0,0.0020898641588296,0.9634273772204808,0.9937304075235108,1.0,1.0,run_seed_327_hash_e0cd5d01,327,baseline,1.1
A,2087,0.1217057977958792,0.0,0.0,0.6999999999998181,0.0019166267369429,0.9496885481552468,0.9899377096310492,0.9995208433157644,1.0,run_seed_320_hash_e481da2f,320,baseline,1.2
B,1772,0.0857787810383747,0.0,0.0,0.0,0.0028216704288939,0.9593679458239278,0.9937923250564334,1.0,1.0,run_seed_320_hash_e481da2f,320,baseline,1.2
A,2058,0.0835762876579203,0.0,0.0,0.0,0.0014577259475218,0.9514091350826044,0.9956268221574344,1.0,1.0,run_seed_306_hash_e481da2f,306,baseline,1.2
B,1744,0.0951834862385321,0.0,0.0,0.0,0.0017201834862385,0.9581422018348624,0.9942660550458716,1.0,1.0,run_seed_306_hash_e481da2f,306,baseline,1.2
A,2252,0.1212255772646536,0.0,0.0,1.0,0.0008880994671403,0.9484902309058616,0.9906749555950266,0.9995559502664298,1.0,run_seed_330_hash_e0cd5d01,330,baseline,1.1
B,1968,0.0757113821138211,0.0,0.0,0.0,0.0010162601626016,0.9644308943089432,0.9964430894308944,1.0,1.0,run_seed_330_hash_e0cd5d01,330,baseline,1.1
A,2015,0.1156327543424317,0.0,0.0,1.0,0.0014888337468982,0.939454094292804,0.9925558312655088,1.0,1.0,run_seed_308_hash_e481da2f,308,baseline,1.2
B,1833,0.1025641025641025,0.0,0.0,0.0,0.0021822149481723,0.955264593562466,0.989088925259138,1.0,1.0,run_seed_308_hash_e481da2f,308,baseline,1.2
A,2297,0.1184153243360905,0.0,0.0,1.0,0.0017414018284719,0.9464518937744884,0.9912929908576404,1.0,1.0,run_seed_314_hash_e0cd5d01,314,baseline,1.1
B,1947,0.0631741140215716,0.0,0.0,0.0,0.0010272213662044,0.965588084232152,0.9958911145351824,1.0,1.0,run_seed_314_hash_e0cd5d01,314,baseline,1.1
A,2057,0.1137578998541565,0.0,0.0,1.0,0.0014584346135148,0.9474963539134662,0.992707826932426,0.9995138551288284,1.0,run_seed_319_hash_e481da2f,319,baseline,1.2
B,1792,0.0920758928571428,0.0,0.0,0.0,0.0016741071428571,0.9553571428571428,0.9938616071428572,1.0,1.0,run_seed_319_hash_e481da2f,319,baseline,1.2
A,2062,0.135305528612997,0.0,0.0,1.0,0.0024248302618816,0.9422890397672165,0.991270611057226,0.9995150339476236,1.0,run_seed_323_hash_e481da2f,323,baseline,1.2
B,1800,0.0911111111111111,0.0,0.0,0.0,0.0005555555555555,0.9572222222222222,0.9938888888888888,1.0,1.0,run_seed_323_hash_e481da2f,323,baseline,1.2
A,2078,0.0943214629451395,0.0,0.0,0.0,0.0019249278152069,0.9542829643888354,0.9932627526467758,1.0,1.0,run_seed_307_hash_e481da2f,307,baseline,1.2
B,1788,0.0782997762863534,0.0,0.0,0.0,0.0,0.964765100671141,0.9944071588366892,1.0,1.0,run_seed_307_hash_e481da2f,307,baseline,1.2
